City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Great Yarmouth,GB,2021-06-13 20:10:54,52.6083,1.7305,70.05,88,3,10.4
192,Ibotirama,BR,2021-06-13 20:10:55,-12.1853,-43.2206,88.05,33,97,4.72
193,Saint-Francois,FR,2021-06-13 20:10:55,46.4154,3.9054,72.84,49,0,2.3
194,Nantucket,US,2021-06-13 20:08:34,41.2835,-70.0995,74.25,78,5,15.79
195,Acapulco,MX,2021-06-13 20:08:30,16.8634,-99.8901,84.02,79,90,6.91
196,Zhigansk,RU,2021-06-13 20:10:56,66.7697,123.3711,50.88,88,100,3.94
197,Kankakee,US,2021-06-13 20:10:56,41.15,-87.8667,87.82,45,1,8.05
198,Pangkalanbuun,ID,2021-06-13 20:10:56,-2.6833,111.6167,73.92,98,77,2.59
199,Half Moon Bay,US,2021-06-13 20:10:57,37.4636,-122.4286,85.8,62,42,7.38
200,Nome,US,2021-06-13 20:10:57,64.5011,-165.4064,45.16,91,100,4.18
201,Tokur,RU,2021-06-13 20:10:57,53.1333,132.9,48.97,84,100,1.79
202,Khatanga,RU,2021-06-13 20:10:58,71.9667,102.5,41.31,63,100,7.38
203,Dwarka,IN,2021-06-13 20:10:58,22.2394,68.9678,86.04,73,11,17.74
204,Wukari,NG,2021-06-13 20:10:58,7.85,9.7833,81.25,72,99,2.82
205,Cortez,US,2021-06-13 20:10:59,37.3489,-108.5859,95.94,8,5,11.63
206,Alyangula,AU,2021-06-13 20:10:59,-13.8483,136.4192,72.55,82,70,3.96
207,Dicabisagan,PH,2021-06-13 20:10:59,17.0818,122.4157,79.61,76,65,5.06
208,Upernavik,GL,2021-06-13 20:09:42,72.7868,-56.1549,36.21,87,67,2.01
209,Baikunthpur,IN,2021-06-13 20:11:00,23.25,82.55,78.1,84,100,2.35
210,Koumac,NC,2021-06-13 20:11:00,-20.5667,164.2833,71.11,78,5,4.5
211,Tuktoyaktuk,CA,2021-06-13 20:11:00,69.4541,-133.0374,35.6,100,90,8.05
212,Tak Bai,TH,2021-06-13 20:11:01,6.2595,102.0546,78.55,87,100,3.89
213,Mabai,CN,2021-06-13 20:11:01,23.0128,104.4508,63.99,97,99,1.99
214,Mamallapuram,IN,2021-06-13 20:11:01,12.6264,80.1722,86.05,62,100,15.97
215,Hede,CN,2021-06-13 20:11:02,33.7681,120.2517,71.24,97,62,5.86
216,Itupiranga,BR,2021-06-13 20:11:02,-5.1347,-49.3267,91.72,57,48,2.37
217,Saint George,US,2021-06-13 20:08:59,37.1041,-113.5841,103.39,7,1,1.99
218,Pavlodar,KZ,2021-06-13 20:11:02,52.3,76.95,58.8,88,40,4.47
219,Kaya,BF,2021-06-13 20:11:03,13.0917,-1.0844,97.77,28,91,7.23
220,Chuy,UY,2021-06-13 20:11:03,-33.6971,-53.4616,61.38,76,0,6.08
221,Mayo,US,2021-06-13 20:11:03,38.8876,-76.5119,81.37,77,1,7.0
222,Port-Gentil,GA,2021-06-13 20:11:03,-0.7193,8.7815,78.48,87,100,11.65
223,Porto Santo,PT,2021-06-13 20:11:04,33.072,-16.3415,70.18,68,20,13.8
224,Meulaboh,ID,2021-06-13 20:07:15,4.1363,96.1285,77.18,88,91,4.72
225,Xinzhi,CN,2021-06-13 20:11:04,36.4989,111.7047,75.88,85,100,3.33
226,Shingu,JP,2021-06-13 20:11:04,33.7333,135.9833,70.92,90,100,4.36
227,Ostrovnoy,RU,2021-06-13 20:11:05,68.0531,39.5131,62.87,69,28,13.71
228,Whitecourt,CA,2021-06-13 20:11:05,54.1502,-115.6855,71.69,40,58,10.58
229,Palana,RU,2021-06-13 20:11:05,59.1167,159.9667,47.16,68,4,2.28
230,Tuy Hoa,VN,2021-06-13 20:11:06,13.0833,109.3,81.27,68,100,10.89
231,Aranos,NA,2021-06-13 20:11:06,-24.1333,19.1167,60.42,27,52,7.81
232,Ouallam,NE,2021-06-13 20:11:06,14.3188,2.0866,91.22,34,78,16.22
233,Droitwich,GB,2021-06-13 20:11:07,52.2667,-2.15,75.83,72,64,6.15
234,Celestun,MX,2021-06-13 20:11:07,20.8667,-90.4,82.4,70,100,7.11
235,Rocha,UY,2021-06-13 20:11:07,-34.4833,-54.3333,62.2,81,3,6.22
236,Kungurtug,RU,2021-06-13 20:11:08,50.5994,97.5228,41.99,86,97,2.24
237,Juazeiro,BR,2021-06-13 20:11:08,-9.4117,-40.4986,86.18,42,40,12.66
238,Ancud,CL,2021-06-13 20:11:08,-41.8697,-73.8203,47.73,69,9,10.31
239,Sungaipenuh,ID,2021-06-13 20:11:09,-2.0833,101.3833,64.18,94,67,3.24
240,Esperance,AU,2021-06-13 20:11:09,-33.8667,121.9,55.98,73,0,17.52
241,Muktsar,IN,2021-06-13 20:11:09,30.4833,74.5167,86.9,42,100,7.07
242,Denia,ES,2021-06-13 20:11:09,38.8408,0.1057,80.8,68,1,3.0
243,Iqaluit,CA,2021-06-13 20:11:10,63.7506,-68.5145,37.18,76,82,4.5
244,Praia,CV,2021-06-13 20:11:10,14.9215,-23.5087,81.14,69,0,5.75
245,Pochutla,MX,2021-06-13 20:11:10,15.7432,-96.4661,86.83,73,91,5.28
246,Bhuban,IN,2021-06-13 20:11:11,20.8833,85.8333,82.89,84,100,2.06
247,Narsaq,GL,2021-06-13 20:11:11,60.9167,-46.05,52.02,74,68,4.65
248,Mosta,MT,2021-06-13 20:11:11,35.9092,14.4256,71.58,83,0,9.22
249,Princeton,US,2021-06-13 20:11:12,25.5384,-80.4089,94.01,57,75,12.66
250,Quatre Cocos,MU,2021-06-13 20:11:12,-20.2078,57.7625,74.08,74,31,17.07
251,Debre Zeyit,ET,2021-06-13 20:11:12,8.75,38.9833,64.74,69,100,1.97
252,Sosnogorsk,RU,2021-06-13 20:11:13,63.6023,53.8817,61.25,77,82,3.94
253,Kermen,BG,2021-06-13 20:11:13,42.5,26.25,62.42,82,90,9.22
254,Havre-Saint-Pierre,CA,2021-06-13 20:11:13,50.2334,-63.5986,50.97,64,93,11.61
255,Namibe,AO,2021-06-13 20:11:14,-15.1961,12.1522,72.16,70,95,2.51
256,San Patricio,US,2021-06-13 20:11:14,28.017,-97.5169,94.06,42,6,4.21
257,Cherskiy,RU,2021-06-13 20:11:14,68.75,161.3,54.12,49,98,7.07
258,Kaitangata,NZ,2021-06-13 20:11:15,-46.2817,169.8464,51.26,98,100,10.42
259,Miraflores,MX,2021-06-13 20:11:15,19.2167,-98.8083,68.65,72,100,3.44
260,Havoysund,NO,2021-06-13 20:11:15,70.9963,24.6622,45.48,90,100,27.13
261,Puerto Escondido,MX,2021-06-13 20:11:16,15.85,-97.0667,85.03,51,90,4.61
262,Moorhead,US,2021-06-13 20:11:16,46.8739,-96.7676,84.22,28,1,7.0
263,Petauke,ZM,2021-06-13 20:11:16,-14.2426,31.3253,55.94,52,0,5.55
264,Burgeo,CA,2021-06-13 20:11:17,47.6167,-57.6152,51.51,70,32,17.54
265,Victoria,HK,2021-06-13 20:06:41,22.2855,114.1577,84.38,89,99,1.01
266,Ahuimanu,US,2021-06-13 20:11:17,21.4447,-157.8378,80.78,68,40,16.11
267,Itarema,BR,2021-06-13 20:11:17,-2.9248,-39.9167,80.73,76,51,10.49
268,Takoradi,GH,2021-06-13 20:07:52,4.8845,-1.7554,80.55,83,65,8.75
269,Vorontsovka,RU,2021-06-13 20:11:18,50.6132,40.3549,62.87,88,21,4.07
270,Naze,JP,2021-06-13 20:11:18,28.3667,129.4833,74.28,88,100,8.03
271,Naliya,IN,2021-06-13 20:11:18,23.2667,68.8333,86.9,66,93,19.39
272,Excelsior Springs,US,2021-06-13 20:10:00,39.3392,-94.2261,90.7,33,0,3.44
273,Marzuq,YE,2021-06-13 20:11:19,14.4,46.4667,79.72,31,77,4.63
274,Aksu,CN,2021-06-13 20:11:19,41.1231,80.2644,65.14,52,63,10.6
275,Asfi,MA,2021-06-13 20:11:19,32.2994,-9.2372,68.16,80,1,9.1
276,Mapiripan,CO,2021-06-13 20:11:20,2.8892,-72.1256,81.37,82,50,3.49
277,Baykit,RU,2021-06-13 20:11:20,61.67,96.37,39.69,85,4,6.33
278,La Ronge,CA,2021-06-13 20:11:20,55.1001,-105.2842,72.19,29,1,8.86
279,Jos,NG,2021-06-13 20:06:55,9.9167,8.9,73.71,59,95,4.25
280,Zeya,RU,2021-06-13 20:11:21,53.75,127.2667,59.4,96,96,4.74
281,Otane,NZ,2021-06-13 20:11:21,-39.8833,176.6333,56.39,88,93,2.13
282,Powell,US,2021-06-13 20:08:03,40.1578,-83.0752,88.02,55,40,5.99
283,Sitka,US,2021-06-13 20:11:21,57.0531,-135.33,62.13,56,85,5.7
284,Olafsvik,IS,2021-06-13 20:11:22,64.8945,-23.7142,41.63,78,99,22.39
285,Kavaratti,IN,2021-06-13 20:11:22,10.5669,72.642,83.44,77,100,23.53
286,Caravelas,BR,2021-06-13 20:11:23,-17.7125,-39.2481,73.85,68,65,10.8
287,Aklavik,CA,2021-06-13 20:11:23,68.2191,-135.0107,48.92,57,100,12.93
288,Halifax,CA,2021-06-13 20:08:24,44.6453,-63.5724,73.69,43,10,6.96
